State,Date,Hourly Demand Met (in MW)
Delhi - 2023,01-Jan 12am,2252.78
Delhi - 2023,01-Jan 1am,2013.40
Delhi - 2023,01-Jan 2am,1872.10
Delhi - 2023,01-Jan 3am,1806.61
Delhi - 2023,01-Jan 4am,1855.44
Delhi - 2023,01-Jan 5am,2089.85
Delhi - 2023,01-Jan 6am,2584.39
Delhi - 2023,01-Jan 7am,3247.95
Delhi - 2023,01-Jan 8am,3860.26
Delhi - 2023,01-Jan 9am,4280.86
Delhi - 2023,01-Jan 10am,4540.35
Delhi - 2023,01-Jan 11am,4515.24
Delhi - 2023,01-Jan 12pm,4184.47
Delhi - 2023,01-Jan 1pm,3693.81
Delhi - 2023,01-Jan 2pm,3395.04
Delhi - 2023,01-Jan 3pm,3138.41
Delhi - 2023,01-Jan 4pm,3025.00
Delhi - 2023,01-Jan 5pm,3158.71
Delhi - 2023,01-Jan 6pm,3366.26
Delhi - 2023,01-Jan 7pm,3285.76
Delhi - 2023,01-Jan 8pm,3167.78
Delhi - 2023,01-Jan 9pm,3032.36
Delhi - 2023,01-Jan 10pm,2797.53
Delhi - 2023,01-Jan 11pm,2435.65
Delhi - 2023,02-Jan 12am,2074.97
Delhi - 2023,02-Jan 1am,1847.85
Delhi - 2023,02-Jan 2am,1743.80
Delhi - 2023,02-Jan 3am,1707.40
Delhi - 2023,02-Jan 4am,1774.08
Delhi - 2023,02-Jan 5am,2046.33
Delhi - 2023,02-Jan 6am,2674.63
Delhi - 2023,02-Jan 7am,3449.75
Delhi - 2023,02-Jan 8am,4047.37
Delhi - 2023,02-Jan 9am,4368.82
Delhi - 2023,02-Jan 10am,4558.09
Delhi - 2023,02-Jan 11am,4477.58
Delhi - 2023,02-Jan 12pm,4248.89
Delhi - 2023,02-Jan 1pm,3883.05
Delhi - 2023,02-Jan 2pm,3780.57
Delhi - 2023,02-Jan 3pm,3663.76
Delhi - 2023,02-Jan 4pm,3574.93
Delhi - 2023,02-Jan 5pm,3758.99
Delhi - 2023,02-Jan 6pm,3920.91
Delhi - 2023,02-Jan 7pm,3817.45
Delhi - 2023,02-Jan 8pm,3629.84
Delhi - 2023,02-Jan 9pm,3395.06
Delhi - 2023,02-Jan 10pm,3094.94
Delhi - 2023,02-Jan 11pm,2619.27
Delhi - 2023,03-Jan 12am,2235.57
Delhi - 2023,03-Jan 1am,1991.23
Delhi - 2023,03-Jan 2am,1891.33
Delhi - 2023,03-Jan 3am,1826.85
Delhi - 2023,03-Jan 4am,1898.18
Delhi - 2023,03-Jan 5am,2180.02
Delhi - 2023,03-Jan 6am,2834.47
Delhi - 2023,03-Jan 7am,3566.95
Delhi - 2023,03-Jan 8am,4175.70
Delhi - 2023,03-Jan 9am,4506.01
Delhi - 2023,03-Jan 10am,4683.75
Delhi - 2023,03-Jan 11am,4775.98
Delhi - 2023,03-Jan 12pm,4467.37
Delhi - 2023,03-Jan 1pm,4069.78
Delhi - 2023,03-Jan 2pm,3871.37
Delhi - 2023,03-Jan 3pm,3819.04
Delhi - 2023,03-Jan 4pm,3750.72
Delhi - 2023,03-Jan 5pm,3911.80
Delhi - 2023,03-Jan 6pm,4086.25
Delhi - 2023,03-Jan 7pm,3995.82
Delhi - 2023,03-Jan 8pm,3799.02
Delhi - 2023,03-Jan 9pm,3579.99
Delhi - 2023,03-Jan 10pm,3229.47
Delhi - 2023,03-Jan 11pm,2749.73
Delhi - 2023,04-Jan 12am,2314.25
Delhi - 2023,04-Jan 1am,2058.93
Delhi - 2023,04-Jan 2am,1934.03
Delhi - 2023,04-Jan 3am,1893.25
Delhi - 2023,04-Jan 4am,1956.69
Delhi - 2023,04-Jan 5am,2254.80
Delhi - 2023,04-Jan 6am,2932.14
Delhi - 2023,04-Jan 7am,3755.12
Delhi - 2023,04-Jan 8am,4416.78
Delhi - 2023,04-Jan 9am,4768.25
Delhi - 2023,04-Jan 10am,4991.47
Delhi - 2023,04-Jan 11am,5010.35
